"Spec","mitochondrion Acc","Len","coi Acc","Len","coii Acc","Len","coiii Acc","Len"
"Drosophila virilis",NA,NA,"MH423345.1","658","KX275252.1","549","EU493881.1","1661"
"Drosophila vulcana","MK742886.1","16019","AB669718.1","1536","AF461288.1","384",NA,NA
"Drosophila wheeleri",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila willistoni","NC_071240.1","15975","NC_071240.1","15975","NC_071240.1","15975","NC_071240.1","15975"
"Drosophila willistoni quechua",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila wingei",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila xanthia",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila xanthogaster",NA,NA,NA,NA,NA,NA,NA,NA
"Drosophila yakuba","NC_001322.1","16019","KX771113.1","658","X03240.1","16019","X03240.1","16019"
"Dryomyza anilis","OX638137.1","16483","MG473017.1","450","JN828305.1","683",NA,NA
"Dyseuaresta impluvita",NA,NA,NA,NA,NA,NA,NA,NA
"Dyseuaresta mexicana",NA,NA,NA,NA,NA,NA,NA,NA
"Ectemnia invenusta",NA,NA,NA,NA,NA,NA,NA,NA
"Ectemnia primaeva",NA,NA,NA,NA,NA,NA,NA,NA
"Ectemnia reclusa",NA,NA,NA,NA,NA,NA,NA,NA
"Ectemnia taeniatifrons",NA,NA,NA,NA,NA,NA,NA,NA
"Elgiva cucularia",NA,NA,"MZ610925.1","658","JN828306.1","662",NA,NA
"Elgiva divisa",NA,NA,NA,NA,NA,NA,NA,NA
"Elgiva rufa",NA,NA,NA,NA,NA,NA,NA,NA
"Endochironomus albipennis",NA,NA,"OP927642.1","658",NA,NA,NA,NA
"Endochironomus impar",NA,NA,NA,NA,NA,NA,NA,NA
"Endochironomus sp",NA,NA,NA,NA,NA,NA,NA,NA
"Endochironomus tendens","NC_072656.1","15790","LC773140.1","658",NA,NA,NA,NA
"Epistrophe eligans","OX596033.1","16927","MZ625683.1","634",NA,NA,NA,NA
"Epistrophe emarginata",NA,NA,NA,NA,NA,NA,NA,NA
"Epistrophe grossulariae","OV839571.1","16562","MF837271.1","594",NA,NA,NA,NA
"Epistrophe melanostomoides",NA,NA,NA,NA,NA,NA,NA,NA
"Epistrophe metcalfi",NA,NA,NA,NA,NA,NA,NA,NA
"Epistrophe nitidicollis",NA,NA,"MF832549.1","588",NA,NA,NA,NA
"Episyrphus arcifer",NA,NA,NA,NA,NA,NA,NA,NA
"Episyrphus balteatus","NC_036481.1","16175","OM794674.1","623","AY573151.1","669",NA,NA
"Episyrphus circularis",NA,NA,NA,NA,NA,NA,NA,NA
"Episyrphus nectarinus",NA,NA,NA,NA,NA,NA,NA,NA
"Episyrphus sp.BA",NA,NA,NA,NA,NA,NA,NA,NA
"Episyrphus sp.CA",NA,NA,NA,NA,NA,NA,NA,NA
"Episyrphus sp.DP",NA,NA,NA,NA,NA,NA,NA,NA
"Episyrphus sp.ET",NA,NA,NA,NA,NA,NA,NA,NA
"Episyrphus sp.FJ",NA,NA,NA,NA,NA,NA,NA,NA
"Episyrphus trisectus",NA,NA,"JN991981.1","307",NA,NA,NA,NA
"Epochra canadensis",NA,NA,NA,NA,NA,NA,NA,NA
"Erax rufibarbis",NA,NA,NA,NA,NA,NA,NA,NA
"Eretmapodites chryosogaster",NA,NA,NA,NA,NA,NA,NA,NA
"Eristalinus abusiva",NA,NA,NA,NA,NA,NA,NA,NA
"Eristalinus aeneus",NA,NA,"MW473968.1","659",NA,NA,NA,NA
"Eristalinus anthophorina",NA,NA,NA,NA,NA,NA,NA,NA
"Eristalinus arbustorum",NA,NA,NA,NA,NA,NA,NA,NA
"Eristalinus arvorum",NA,NA,"MK751023.1","666",NA,NA,NA,NA
"Eristalinus barda",NA,NA,NA,NA,NA,NA,NA,NA
"Eristalinus bastardii",NA,NA,NA,NA,NA,NA,NA,NA
"Eristalinus bellardii",NA,NA,NA,NA,NA,NA,NA,NA
"Eristalinus cerealis",NA,NA,NA,NA,NA,NA,NA,NA
"Eristalinus cressoni",NA,NA,NA,NA,NA,NA,NA,NA
"Eristalinus dimidiata",NA,NA,NA,NA,NA,NA,NA,NA
"Eristalinus gymnops","MW532050.1","15550",NA,NA,NA,NA,NA,NA
"Eristalinus hirta",NA,NA,NA,NA,NA,NA,NA,NA
"Eristalinus horticola",NA,NA,NA,NA,NA,NA,NA,NA
"Eristalinus intricaria",NA,NA,NA,NA,NA,NA,NA,NA
"Eristalinus intricarius",NA,NA,NA,NA,NA,NA,NA,NA
"Eristalinus jugorum",NA,NA,NA,NA,NA,NA,NA,NA
"Eristalinus laetus",NA,NA,NA,NA,NA,NA,NA,NA
"Eristalinus lineifacies","MW532003.1","15908",NA,NA,NA,NA,NA,NA
"Eristalinus lugens",NA,NA,NA,NA,NA,NA,NA,NA
"Eristalinus madagascariensis",NA,NA,NA,NA,NA,NA,NA,NA
"Eristalinus nemorum",NA,NA,NA,NA,NA,NA,NA,NA
"Eristalinus obscura",NA,NA,NA,NA,NA,NA,NA,NA
"Eristalinus paria",NA,NA,NA,NA,NA,NA,NA,NA
"Eristalinus pertinax",NA,NA,NA,NA,NA,NA,NA,NA
"Eristalinus pexalis",NA,NA,NA,NA,NA,NA,NA,NA
"Eristalinus pratorum",NA,NA,NA,NA,NA,NA,NA,NA
"Eristalinus punctulatus",NA,NA,NA,NA,NA,NA,NA,NA
"Eristalinus quinquelineatus","MW532017.1","15836","MN163109.1","658",NA,NA,NA,NA
"Eristalinus rupium",NA,NA,NA,NA,NA,NA,NA,NA
"Eristalinus saxorum",NA,NA,NA,NA,NA,NA,NA,NA
"Eristalinus sepulchralis","OR183391.1","15182","MZ629004.1","658",NA,NA,NA,NA
"Eristalinus sp.3",NA,NA,NA,NA,NA,NA,NA,NA
"Eristalinus sp.4",NA,NA,NA,NA,NA,NA,NA,NA
"Eristalinus sp.5",NA,NA,NA,NA,NA,NA,NA,NA
"Eristalinus supulcralis",NA,NA,NA,NA,NA,NA,NA,NA
"Eristalinus taeniops","MW532021.1","15806","MT216279.1","670",NA,NA,NA,NA
"Eristalinus tarsalis",NA,NA,NA,NA,NA,NA,NA,NA
"Eristalinus tenax",NA,NA,NA,NA,NA,NA,NA,NA
"Eristalinus transversa",NA,NA,NA,NA,NA,NA,NA,NA
"Euaresta melanogaster",NA,NA,NA,NA,NA,NA,NA,NA
"Euaresta melanogsaster",NA,NA,NA,NA,NA,NA,NA,NA
"Euboettcheria sp",NA,NA,NA,NA,NA,NA,NA,NA
"Euboettcheria sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Eucalliphora lilaea",NA,NA,NA,NA,NA,NA,NA,NA
"Eucorethra underwoodi",NA,NA,NA,NA,NA,NA,NA,NA
"Eumea westermanni",NA,NA,NA,NA,NA,NA,NA,NA
"Eumerus amoenus",NA,NA,"MN621961.1","656",NA,NA,NA,NA
"Eumerus argyropus",NA,NA,"MG559844.1","578",NA,NA,NA,NA
"Eumerus aurifrons",NA,NA,NA,NA,NA,NA,NA,NA
"Eumerus figurans",NA,NA,NA,NA,NA,NA,NA,NA
"Eumerus n.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Eumerus nigrostriatus",NA,NA,NA,NA,NA,NA,NA,NA
"Eumerus obliquus",NA,NA,"KT624209.1","656",NA,NA,NA,NA
"Eumerus okinawaensis",NA,NA,NA,NA,NA,NA,NA,NA
"Eumerus olivaceus",NA,NA,NA,NA,NA,NA,NA,NA
"Eumerus pusillus",NA,NA,"MN562428.1","1438",NA,NA,NA,NA
"Eumerus sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Eumerus sp.19",NA,NA,NA,NA,NA,NA,NA,NA
"Eumerus strigatus",NA,NA,"OM952142.1","661",NA,NA,NA,NA
"Eumerus tuberculatus",NA,NA,NA,NA,NA,NA,NA,NA
"Eumerus uncipes",NA,NA,NA,NA,NA,NA,NA,NA
"Eupeodes volucris",NA,NA,"MW474062.1","659",NA,NA,NA,NA
"Euphumosia setigera",NA,NA,NA,NA,NA,NA,NA,NA
"Eurhyncomyia anterotes",NA,NA,NA,NA,NA,NA,NA,NA
"Eusimulium aureum",NA,NA,NA,NA,NA,NA,NA,NA
"Eusimulium kazahstanicum",NA,NA,NA,NA,NA,NA,NA,NA
"Eusimulium vernum",NA,NA,NA,NA,NA,NA,NA,NA
"Euthycera chaerophylli",NA,NA,"MZ610934.1","658",NA,NA,NA,NA
"Euxesta notata",NA,NA,"JN302352.1","658","AY573155.1","669",NA,NA
"Euxesta notatasp.1",NA,NA,NA,NA,NA,NA,NA,NA
"Euxesta notatasp.2",NA,NA,NA,NA,NA,NA,NA,NA
"Euxesta sp1.",NA,NA,NA,NA,NA,NA,NA,NA
"Euxesta sp2.",NA,NA,NA,NA,NA,NA,NA,NA
"Exallandra cinctifacies",NA,NA,NA,NA,NA,NA,NA,NA
"Exalloscaptomyza spp.",NA,NA,NA,NA,NA,NA,NA,NA
"Exechia indecisa",NA,NA,NA,NA,NA,NA,NA,NA
"Exechia speciosa",NA,NA,NA,NA,NA,NA,NA,NA
"Exoprosopa atrinasis",NA,NA,NA,NA,NA,NA,NA,NA
"Exoprosopa sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Exoprosopa sp.Punctulatagroup",NA,NA,NA,NA,NA,NA,NA,NA
"Exorista bombycis",NA,NA,NA,NA,NA,NA,NA,NA
"Fannia canicularis","NC_068710.1","16310","JX402732.1","657","NC_068710.1","16310","NC_068710.1","16310"
"Fannia glaucescens",NA,NA,"GU679669.1","655",NA,NA,NA,NA
"Fannia sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Ferdinandea croesus",NA,NA,NA,NA,NA,NA,NA,NA
"Ficalbia chamberlainiclavipalpus",NA,NA,NA,NA,NA,NA,NA,NA
"Ficalbia hybrida",NA,NA,NA,NA,NA,NA,NA,NA
"Ficalbia minima",NA,NA,"AY729967.1","498",NA,NA,NA,NA
"Fucellia marina",NA,NA,NA,NA,NA,NA,NA,NA
"Fucellia merina",NA,NA,NA,NA,NA,NA,NA,NA
"Fungivora blanda",NA,NA,NA,NA,NA,NA,NA,NA
"Fungivora funorum",NA,NA,NA,NA,NA,NA,NA,NA
"Fungivora guttata",NA,NA,NA,NA,NA,NA,NA,NA
"Fungivora lineola",NA,NA,NA,NA,NA,NA,NA,NA
"Fungivora unipunctata",NA,NA,NA,NA,NA,NA,NA,NA
"Gigantodax adleri",NA,NA,NA,NA,NA,NA,NA,NA
"Glossina brevipalpis","MK609850.1","17273","HQ962628.1","658",NA,NA,NA,NA
"Glyptotendipes aequalis",NA,NA,"MZ633968.1","658",NA,NA,NA,NA
"Glyptotendipes barbipes",NA,NA,"MZ659638.1","658",NA,NA,NA,NA
"Glyptotendipes caulicola",NA,NA,NA,NA,NA,NA,NA,NA
"Glyptotendipes glaucus",NA,NA,"OP927536.1","658",NA,NA,NA,NA
"Glyptotendipes gripekoveni",NA,NA,NA,NA,NA,NA,NA,NA
"Glyptotendipes pallens",NA,NA,"OP927596.1","658",NA,NA,NA,NA
"Glyptotendipes paripes",NA,NA,"OP927544.1","658",NA,NA,NA,NA
"Glyptotendipes polytomus",NA,NA,NA,NA,NA,NA,NA,NA
"Glyptotendipes salinus",NA,NA,NA,NA,NA,NA,NA,NA
"Glyptotendipes sp",NA,NA,NA,NA,NA,NA,NA,NA
"Glyptotendipes sp.Afr.",NA,NA,NA,NA,NA,NA,NA,NA
"Greniera humeralis",NA,NA,NA,NA,NA,NA,NA,NA
"Gymnopais dichopticoides",NA,NA,"FJ524406.1","615",NA,NA,NA,NA
"Gymnopais dichopticus",NA,NA,NA,NA,NA,NA,NA,NA
"Gymnopais fimbriatus",NA,NA,NA,NA,NA,NA,NA,NA
"Gymnopais holopticoides",NA,NA,NA,NA,NA,NA,NA,NA
"Gymnopais holopticus",NA,NA,NA,NA,NA,NA,NA,NA
"Habromyia lipoflava",NA,NA,NA,NA,NA,NA,NA,NA
"Hadromyia aldrichi",NA,NA,NA,NA,NA,NA,NA,NA
"Hadromyia grandis",NA,NA,"MG163370.1","588",NA,NA,NA,NA
"Hadromyia pulchra","OR183393.1","4661","MG170838.1","588",NA,NA,NA,NA
"Haemagogus equinus",NA,NA,"MK464210.1","617",NA,NA,NA,NA
"Haematobia irritans","KM669714.1","15043","MW200783.1","658","AY184818.1","688",NA,NA
"Haematopota crassicornis",NA,NA,NA,NA,NA,NA,NA,NA
"Haematopota italica",NA,NA,"MZ563362.1","658",NA,NA,NA,NA
"Haematopota pallens",NA,NA,NA,NA,NA,NA,NA,NA
"Haematopota pellucens",NA,NA,NA,NA,NA,NA,NA,NA
"Haematopota pluvialis","MT584146.1","15582","MZ563333.1","658",NA,NA,NA,NA
"Haematopota scutellatarossica",NA,NA,NA,NA,NA,NA,NA,NA
"Haematopota subcylindrica","MT483662.1","16053","MZ563341.1","658",NA,NA,NA,NA
"Haematopota tamerlani",NA,NA,NA,NA,NA,NA,NA,NA
"Helicobia rapax",NA,NA,"MF856645.1","573","GQ223290.1","702",NA,NA
"Helicobia sp",NA,NA,NA,NA,NA,NA,NA,NA
"Helicobia sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Helodon alpestris",NA,NA,"FJ524409.1","615",NA,NA,NA,NA
"Helodon aonychodactylus",NA,NA,NA,NA,NA,NA,NA,NA
"Helodon beardi",NA,NA,NA,NA,NA,NA,NA,NA
"Helodon chaos",NA,NA,NA,NA,NA,NA,NA,NA
"Helodon decemarticulatus",NA,NA,NA,NA,NA,NA,NA,NA
"Helodon diadelphus",NA,NA,NA,NA,NA,NA,NA,NA
"Helodon gibsoni",NA,NA,"JF875383.1","658",NA,NA,NA,NA
"Helodon irkutensis",NA,NA,NA,NA,NA,NA,NA,NA
"Helodon mccreadiei",NA,NA,NA,NA,NA,NA,NA,NA
"Helodon newmani",NA,NA,NA,NA,NA,NA,NA,NA
"Helodon onychodactylus",NA,NA,NA,NA,"AF083857.1","690",NA,NA
"Helodon pleuralis",NA,NA,NA,NA,NA,NA,NA,NA
"Helodon protus",NA,NA,NA,NA,NA,NA,NA,NA
"Helodon susanae",NA,NA,NA,NA,NA,NA,NA,NA
"Helodon trochus",NA,NA,NA,NA,NA,NA,NA,NA
"Helodon vernalis",NA,NA,NA,NA,NA,NA,NA,NA
"Helophilus antipodus",NA,NA,"MW473998.1","661",NA,NA,NA,NA
"Helophilus fasciatus",NA,NA,NA,NA,NA,NA,NA,NA
"Helophilus hochstetteri",NA,NA,"JN991997.1","658",NA,NA,NA,NA
"Helophilus hybridus",NA,NA,"MF834030.1","576",NA,NA,NA,NA
"Helophilus intentus",NA,NA,NA,NA,NA,NA,NA,NA
"Helophilus latrifrons",NA,NA,NA,NA,NA,NA,NA,NA
"Helophilus obscurus",NA,NA,"MF829235.1","588",NA,NA,NA,NA
"Helophilus pendulus",NA,NA,"MZ609479.1","658",NA,NA,NA,NA
"Helophilus trivittatus",NA,NA,NA,NA,NA,NA,NA,NA
"Helosciomyza ferruginea",NA,NA,NA,NA,NA,NA,NA,NA
"Hemilucilia sp",NA,NA,NA,NA,NA,NA,NA,NA
"Hemipyrellia brunneipes",NA,NA,NA,NA,NA,NA,NA,NA
"Hemipyrellia fernandica",NA,NA,"KF839571.1","576",NA,NA,NA,NA
"Hemipyrellia ligurriens","NC_019638.1","15938","JN604563.1","1539","JN014895.1","2303",NA,NA
"Hemipyrellia taeniops",NA,NA,NA,NA,NA,NA,NA,NA
"Hemipyrellia tagaliana",NA,NA,"JN014898.1","2303","JN014898.1","2303",NA,NA
"Hermetia illucens","OQ158799.1","15675","OQ803477.1","802","NC_035232.1","15698","NC_035232.1","15698"
"Hiatomyia plutonia",NA,NA,NA,NA,NA,NA,NA,NA
"Hiatomyia sp.A",NA,NA,NA,NA,NA,NA,NA,NA
"Hiatomyia sp.B",NA,NA,NA,NA,NA,NA,NA,NA
"Himantoloba flavopilosa",NA,NA,NA,NA,NA,NA,NA,NA
"Hirtodrosophila duncani",NA,NA,"KR393898.1","564","GU597505.1","663","GU597534.1","445"
"Hirtodrosophila grisea",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
